"STATE","COUNTY","STNAME","CTYNAME","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","H_MALE","H_FEMALE","white_alone_perc","black_alone_perc","american_indian_alone_perc","asian_alone_perc","hispanic_perc"
1,1,"Alabama","Autauga County",55869,27092,28777,20878,21729,5237,6000,121,145,286,370,884,787,0.762623279457302,0.201131217669906,0.00476113766131486,0.0117417530294081,0.0299092520002148
1,3,"Alabama","Baldwin County",223234,108247,114987,94810,100388,9486,10107,903,839,932,1448,5545,4989,0.874409812125393,0.0877688882517896,0.00780347079745917,0.0106614583799959,0.0471881523423851
1,5,"Alabama","Barbour County",24686,13064,11622,6389,5745,6311,5595,103,67,55,61,629,488,0.491533662804829,0.482297658591914,0.00688649436927813,0.00469901968727214,0.0452483188851981
1,7,"Alabama","Bibb County",22394,11929,10465,8766,8425,2941,1822,53,50,23,25,343,280,0.767660980619809,0.21269089934804,0.00459944628025364,0.00214343127623471,0.0278199517727963
1,9,"Alabama","Blount County",57826,28472,29354,27258,28154,516,462,192,178,85,100,2950,2632,0.958254072562515,0.0169128073876803,0.00639850586241483,0.00319925293120742,0.0965309722270259
1,11,"Alabama","Bullock County",10101,5508,4593,1629,1060,3713,3384,40,44,9,12,449,415,0.266211266211266,0.702603702603703,0.00831600831600832,0.00207900207900208,0.0855360855360855
1,13,"Alabama","Butler County",19448,9024,10424,4829,5298,3885,4862,39,38,168,111,153,136,0.52072192513369,0.449763471822295,0.00395927601809955,0.0143459481694776,0.0148601398601399
1,15,"Alabama","Calhoun County",113605,54481,59124,41342,43980,11220,12993,310,295,401,623,2358,2256,0.751040887284891,0.213133224770037,0.00532546982967299,0.00901368777782668,0.0406144095770433
1,17,"Alabama","Chambers County",33254,15895,17359,9157,9813,6221,7144,59,50,240,134,472,399,0.570457689300535,0.401906537559391,0.00327780116677693,0.0112467673061887,0.026192337763878
1,19,"Alabama","Cherokee County",26196,12926,13270,12033,12376,558,515,94,87,37,66,229,220,0.931783478393648,0.0409604519774011,0.00690945182470606,0.00393189799969461,0.0171400213773095
1,21,"Alabama","Chilton County",44428,21800,22628,18965,19712,2247,2349,132,118,87,130,1990,1646,0.870554605203925,0.103448275862069,0.00562708202034753,0.00488430719366165,0.0818402809039345
1,23,"Alabama","Choctaw County",12589,5938,6651,3499,3692,2370,2885,16,10,7,18,55,73,0.571212963698467,0.417427913257606,0.00206529509889586,0.00198586067201525,0.0101676066407181
1,25,"Alabama","Clarke County",23622,11153,12469,6057,6461,4878,5757,56,77,46,57,162,148,0.52992972652612,0.450215900431801,0.00563034459402252,0.00436034205401744,0.0131233595800525
1,27,"Alabama","Clay County",13235,6447,6788,5400,5615,867,957,30,45,19,19,231,204,0.832262939176426,0.137816395919909,0.00566679259539101,0.00287117491499811,0.0328673970532678
1,29,"Alabama","Cleburne County",14910,7340,7570,6999,7177,193,231,35,44,10,23,212,175,0.950771294433266,0.0284372904091214,0.00529845741113347,0.00221327967806841,0.0259557344064386
1,31,"Alabama","Coffee County",52342,25742,26600,19647,20022,4429,4787,357,377,320,558,2189,1982,0.75788086049444,0.176072752283061,0.0140231554010164,0.0167742921554392,0.0796874402965114
1,33,"Alabama","Colbert County",55241,26408,28833,21424,23016,4108,4851,195,187,152,222,925,864,0.804474937093825,0.162180264658496,0.0069151535996814,0.00677033362900744,0.0323853659419634
1,35,"Alabama","Conecuh County",12067,5758,6309,3103,3142,2524,3036,36,31,11,17,150,127,0.51752714013425,0.460760752465401,0.00555233280848595,0.00232037789011353,0.0229551669843375
1,37,"Alabama","Coosa County",10663,5335,5328,3604,3514,1606,1688,41,24,6,12,152,128,0.667541967551346,0.308918690799962,0.00609584544687236,0.00168808027759542,0.0262590265403733
1,39,"Alabama","Covington County",37049,17927,19122,15234,16077,2138,2500,146,134,90,96,342,345,0.845124024939944,0.125185565062485,0.00755755890847256,0.00502037841777106,0.0185430106075738
1,41,"Alabama","Crenshaw County",13772,6685,7087,4895,5044,1509,1780,42,49,80,72,185,148,0.721681672959628,0.238817891373802,0.00660760964275341,0.0110368864362475,0.024179494626779
1,43,"Alabama","Cullman County",83768,41408,42360,39626,40562,635,521,272,267,224,383,1924,1828,0.957262916626874,0.0138000191003725,0.00643443797154044,0.00724620380097412,0.0447903734122815
1,45,"Alabama","Dale County",49172,24214,24958,18256,18017,4790,5524,232,190,251,462,1831,1619,0.737675913121289,0.209753518262426,0.00858211990563735,0.0145001220206622,0.0701618807451395
