State Name,FIPS,Region,Division
Alabama,01,South,East South Central
Alaska,02,West,Pacific
Arizona,04,West,Mountain
Arkansas,05,South,West South Central
California,06,West,Pacific
Colorado,08,West,Mountain
Connecticut,09,Northeast,New England
Delaware,10,South,South Atlantic
District of Columbia,11,South,South Atlantic
Florida,12,South,South Atlantic
Georgia,13,South,South Atlantic
Hawaii,15,West,Pacific
Idaho,16,West,Mountain
Illinois,17,Midwest,East North Central
Indiana,18,Midwest,East North Central
Iowa,19,Midwest,West North Central
Kansas,20,Midwest,West North Central
Kentucky,21,South,East South Central
Louisiana,22,South,West South Central
Maine,23,Northeast,New England
Maryland,24,South,South Atlantic
Massachusetts,25,Northeast,New England
Michigan,26,Midwest,East North Central
Minnesota,27,Midwest,West North Central
Mississippi,28,South,East South Central
Missouri,29,Midwest,West North Central
Montana,30,West,Mountain
Nebraska,31,Midwest,West North Central
Nevada,32,West,Mountain
New Hampshire,33,Northeast,New England
New Jersey,34,Northeast,Middle Atlantic
New Mexico,35,West,Mountain
New York,36,Northeast,Middle Atlantic
North Carolina,37,South,South Atlantic
North Dakota,38,Midwest,West North Central
Ohio,39,Midwest,East North Central
Oklahoma,40,South,West South Central
Oregon,41,West,Pacific
Pennsylvania,42,Northeast,Middle Atlantic
Rhode Island,44,Northeast,New England
South Carolina,45,South,South Atlantic
South Dakota,46,Midwest,West North Central
Tennessee,47,South,East South Central
Texas,48,South,West South Central
Utah,49,West,Mountain
Vermont,50,Northeast,New England
Virginia,51,South,South Atlantic
Washington,53,West,Pacific
West Virginia,54,South,South Atlantic
Wisconsin,55,Midwest,East North Central
Wyoming,56,West,Mountain
