"geo","values"
"AT11",22000
"AT12",22700
"AT13",20900
"AT21",21100
"AT22",21300
"AT31",21800
"AT32",22300
"AT33",21400
"AT34",22900
"ATZZ",NA
"BE10",16600
"BE21",19100
"BE22",18300
"BE23",19800
"BE24",21200
"BE25",19300
"BE31",19700
"BE32",15800
"BE33",16400
"BE34",17100
"BE35",16800
"BEZZ",NA
"BG31",6000
"BG32",6900
"BG33",6800
"BG34",6900
"BG41",11800
"BG42",7000
"CY00",15700
"CZ01",16500
"CZ02",13800
"CZ03",12000
"CZ04",11000
"CZ05",11900
"CZ06",12300
"CZ07",11300
"CZ08",11100
"DE11",23500
"DE12",22200
"DE13",22800
"DE14",22800
"DE21",25400
"DE22",21400
"DE23",21400
"DE24",21500
"DE25",22500
"DE26",21900
"DE27",22500
"DE30",18700
"DE40",18800
"DE50",19700
"DE60",22700
"DE71",22500
"DE72",20300
"DE73",19900
"DE80",17700
"DE91",20600
"DE92",20300
"DE93",20800
"DE94",19700
"DEA1",20600
"DEA2",20900
"DEA3",20000
"DEA4",21300
"DEA5",20400
"DEB1",21300
"DEB2",20400
"DEB3",21500
"DEC0",19300
"DED2",18500
"DED4",18700
"DED5",18200
"DEE0",18100
"DEF0",21200
"DEG0",18300
"DK01",16500
"DK02",15500
"DK03",15000
"DK04",15200
"DK05",15000
"EE00",11200
"EL30",12900
"EL41",11000
"EL42",15100
"EL43",10700
"EL51",9800
"EL52",10900
"EL53",11400
"EL54",10500
"EL61",10400
"EL62",12800
"EL63",9600
"EL64",9400
"EL65",10500
"ES11",14400
"ES12",15700
"ES13",15400
"ES21",19900
"ES22",18700
"ES23",16000
"ES24",16500
"ES30",19800
"ES41",15300
"ES42",12900
"ES43",12000
"ES51",17900
"ES52",13800
"ES53",15900
"ES61",12100
"ES62",12600
"ES63",13600
"ES64",12200
"ES70",12900
"ESZZ",NA
"FI19",16000
"FI1B",18900
"FI1C",16400
"FI1D",15600
"FI20",19500
"FR10",20900
"FRB0",17500
"FRC1",17400
"FRC2",17500
"FRD1",17200
"FRD2",17100
"FRE1",15200
"FRE2",16500
"FRF1",17600
"FRF2",16400
"FRF3",17000
"FRG0",17100
"FRH0",17000
"FRI1",17200
"FRI2",17400
"FRI3",16900
"FRJ1",15900
"FRJ2",17200
"FRK1",18000
"FRK2",18100
"FRL0",17600
"FRM0",15900
"FRY1",15600
"FRY2",16400
"FRY3",10700
"FRY4",14800
"FRY5",5800
"FRZZ",NA
"HR03",9300
"HR04",9200
"HU11",12600
"HU12",10200
"HU21",10300
"HU22",10200
"HU23",9200
"HU31",8600
"HU32",8900
"HU33",9600
"HUZZ",NA
"IE04",13200
"IE05",15000
"IE06",16700
"ITC1",19300
"ITC2",19100
"ITC3",19100
"ITC4",20900
"ITF1",14900
"ITF2",13400
"ITF3",12300
"ITF4",13000
"ITF5",12900
"ITF6",11800
"ITG1",12300
"ITG2",13900
"ITH1",23100
"ITH2",19400
"ITH3",18500
"ITH4",19300
"ITH5",20700
"ITI1",18500
"ITI2",17100
"ITI3",17400
"ITI4",17700
"ITZZ",NA
"LT01",15700
"LT02",12400
"LU00",25000
"LV00",9700
"NL11",16100
"NL12",16200
"NL13",16500
"NL21",16100
"NL22",16600
"NL23",16500
"NL31",18300
"NL32",18500
"NL33",17100
"NL34",17000
"NL41",17100
"NL42",16400
"NLZZ",NA
"NO01",21100
"NO02",17900
"NO03",18300
"NO04",18900
"NO05",18800
"NO06",18600
"NO07",18500
"PL21",11400
"PL22",13500
"PL41",12700
"PL42",11900
"PL43",10900
"PL51",12600
"PL52",10900
"PL61",10900
"PL62",10600
"PL63",11800
"PL71",12300
"PL72",10600
"PL81",10600
"PL82",9600
"PL84",10200
"PL91",17600
"PL92",10800
"PT11",12000
"PT15",15400
"PT16",12900
"PT17",15900
"PT18",13100
"PT20",13400
"PT30",13300
"RO11",9400
"RO12",9600
"RO21",7200
"RO22",8100
"RO31",7800
"RO32",18300
"RO41",7600
"RO42",11100
"SE11",19800
"SE12",16700
"SE21",16600
"SE22",17000
"SE23",17600
"SE31",16200
"SE32",16400
"SE33",16500
"SI03",12600
"SI04",13100
"SK01",18400
"SK02",10200
"SK03",10300
"SK04",9500
"UKC1",14900
"UKC2",15600
"UKD1",18000
"UKD3",15500
"UKD4",15700
"UKD6",19900
"UKD7",15600
"UKE1",15300
"UKE2",19000
"UKE3",14700
"UKE4",15300
"UKF1",15900
"UKF2",16900
"UKF3",16400
"UKG1",19800
"UKG2",16700
"UKG3",14400
"UKH1",17900
"UKH2",21400
"UKH3",19400
"UKI3",45700
"UKI4",22700
"UKI5",19900
"UKI6",24100
"UKI7",25100
"UKJ1",22700
"UKJ2",23200
"UKJ3",19500
"UKJ4",19200
"UKK1",19200
"UKK2",18600
"UKK3",16400
"UKK4",17200
"UKL1",14600
"UKL2",16100
"UKM5",19700
"UKM6",17200
"UKM7",18000
"UKM8",16300
"UKM9",16700
"UKN0",15100
"UKZZ",NA
