Entity,Code,Year,Population,Continent,life_expectancy,GDP_per_capita
Afghanistan,AFG,2015,34414000,Asia,63.377,1928
Albania,ALB,2015,2891000,Europe,78.025,10947
Algeria,DZA,2015,39728000,Africa,76.09,13024
Angola,AGO,2015,27884000,Africa,59.398,8631
Argentina,ARG,2015,43075000,South America,76.068,19316
Armenia,ARM,2015,2926000,Asia,74.467,9552
Australia,AUS,2015,23932000,Oceania,82.794,44336
Austria,AUT,2015,8679000,Europe,81.182,44845
Azerbaijan,AZE,2015,9623000,Asia,72.266,16045
Bahrain,BHR,2015,1372000,Asia,76.762,39197
Bangladesh,BGD,2015,156256000,Asia,71.514,3068
Barbados,BRB,2015,285000,North America,78.801,10030
Belarus,BLR,2015,9439000,Europe,73.652,19306
Belgium,BEL,2015,11288000,Europe,80.969,39531
Benin,BEN,2015,10576000,Africa,60.608,2141
Bolivia,BOL,2015,10870000,South America,70.277,5969
Bosnia and Herzegovina,BIH,2015,3429000,Europe,76.865,10305
Botswana,BWA,2015,2121000,Africa,67.338,14626
Brazil,BRA,2015,204472000,South America,74.994,15377
Bulgaria,BGR,2015,7200000,Europe,74.584,17254
Burkina Faso,BFA,2015,18111000,Africa,59.919,1527
Burundi,BDI,2015,10160000,Africa,60.123,723
Cambodia,KHM,2015,15521000,Asia,68.637,3139
Cameroon,CMR,2015,23298000,Africa,57.583,2754
Canada,CAN,2015,36027000,North America,82.026,42844
Cape Verde,CPV,2015,525000,Africa,72.117,6358
Central African Republic,CAF,2015,4493000,Africa,50.881,605
Chad,TCD,2015,14111000,Africa,53.137,2387
Chile,CHL,2015,17969000,South America,79.646,21340
China,CHN,2015,1406848000,Asia,75.928,12002
Colombia,COL,2015,47521000,South America,76.531,12858
Comoros,COM,2015,777000,Africa,63.471,1706
Congo,COG,2015,4856000,Africa,63.097,4526
Costa Rica,CRI,2015,4848000,North America,79.565,13568
Cote d'Ivoire,CIV,2015,23226000,Africa,56.065,3473
Croatia,HRV,2015,4233000,Europe,77.892,20905
Cuba,CUB,2015,11325000,North America,78.561,7889
Cyprus,CYP,2015,1161000,Europe,80.35,25903
Czechia,CZE,2015,10601000,Europe,78.692,30410
Democratic Republic of Congo,COD,2015,76245000,Africa,59.254,836
Denmark,DNK,2015,5689000,Europe,80.475,44939
Djibouti,DJI,2015,914000,Africa,64.136,3258
Dominica,DMA,2015,71000,North America,74.194,9537
Dominican Republic,DOM,2015,10282000,North America,73.241,13382
Ecuador,ECU,2015,16212000,South America,76.143,10914
Egypt,EGY,2015,92443000,Africa,71.302,11236
El Salvador,SLV,2015,6325000,North America,72.412,8163
Equatorial Guinea,GNQ,2015,1169000,Africa,57.359,35743
Estonia,EST,2015,1315000,Europe,77.783,25790
Eswatini,SWZ,2015,1104000,Africa,55.359,7726
Ethiopia,ETH,2015,100835000,Africa,65.048,1576
Finland,FIN,2015,5481000,Europe,81.196,37920
France,FRA,2015,64453000,Europe,82.224,38448
Gabon,GAB,2015,1948000,Africa,64.913,14315
Gambia,GMB,2015,2086000,Africa,60.91,1948
Georgia,GEO,2015,4024000,Asia,72.973,10198
Germany,DEU,2015,81787000,Europe,80.77,46426
Ghana,GHA,2015,27849000,Africa,62.772,3687
Greece,GRC,2015,10660000,Europe,81.548,24545
Guatemala,GTM,2015,16252000,North America,73.25,7055
Guinea,GIN,2015,11432000,Africa,59.598,1606
Guinea-Bissau,GNB,2015,1737000,Africa,56.959,1313
Haiti,HTI,2015,10696000,North America,62.485,1649
Honduras,HND,2015,9113000,North America,74.495,4352
Hong Kong,HKG,2015,7186000,Asia,84.043,46504
Hungary,HUN,2015,9778000,Europe,76.006,23539
Iceland,ISL,2015,330000,Europe,82.481,40572
India,IND,2015,1310151936,Asia,68.607,5639
Indonesia,IDN,2015,258383008,Asia,70.768,10099
